8124,9645,35912,31504,48138
17850,58544
18264,51165
21498,4653
45794,18832
56364,7420
3822,24305
24930,43408
4321,37595
30138,62633
27041,13189
4488,6938
5403,11091
8686,10898
18017,20754
43093,7038
65127,57112
8204,7576
46212,17240
25237,17330
27716,11556
905,37318
64405,30721
20352,48719
33501,52555
2486,58132
64235,41983
56926,52798
30540,32651
24542,7381
36744,9797
31022,54768
58715,50179
59794,6054
52832,2649
29059,57413
36709,53803
22226,27402
11596,28311
803,9915
25835,45409
43299,28776
42916,42166
52696,8061
64996,19530
15657,45730
37186,2201
35116,40044
26286,10761
24201,44257
53560,47801
22261,53387
41240,43528
39455,34610
9365,42385
46915,34735
64654,29669
21164,13246
25302,17867
2710,62118
54023,55470
56247,1117
23539,2133
49115,45052
25134,58772
7677,30388
18817,40787
6775,44411
387,10309
1603,33383
10806,24907
31607,31365
53194,8944
13626,42571
50299,8528
1167,42418
16061,32251
19397,6988
40529,1521
55791,13629
1403,51114
8458,37769
32778,46505
55919,5534
59514,63736
7794,23597
31852,54555
8552,2489
40035,63076
62777,3137
63580,8527
35165,28115
13377,41697
25747,44290
63095,41556
56114,21079
54992,12733
41799,12632
35597,23646
52865,30239
13227,35833
27827,60893
50906,40010
54321,5074
61520,236
44549,16232
34288,48205
18241,55891
43685,31681
52022,60554
64262,19582
62719,28967
9040,4584
47803,53491
32153,18033
27767,15547
25431,41848
43874,23030
37784,12767
19531,16136
16673,30867
24367,11380
64371,50142
35341,38164
49391,55156
43495,1385
29212,16077
14690,6188
23387,6215
44751,5252
540,43992
33427,13028
33084,64125
61727,20478
43080,60367
11986,16262
33917,56587
653,4926
9476,37933
55308,5597
34684,22782
15141,37426
58867,50176
49905,33583
42453,19231
36396,7396
7656,43313
11998,19649
62244,6164
54516,40708
48909,23814
53300,57047
32963,1314
54502,22313
32554,36434
52559,52598
22576,749
41124,25830
10639,42475
19890,955
17204,27687
25150,24454
56272,47970
18920,30000
26875,14438
5725,37534
52818,35353
594,56089
44878,56884
60270,22910
35663,19838
53623,8853
28815,52982
23244,27009
19256,60159
38586,51400
36883,46217
51585,37662
52650,17491
36367,59214
21278,13231
56954,8008
8933,8724
29798,62496
30644,9740
38572,9063
40041,34582
585,24891
329,37682
12854,59663
22440,15153
21084,12302
43627,20826
27274,29665
3113,38422
7079,55303
52264,18925
34000,12664
62550,29087
48281,1152
10491,35327
5369,20938
6085,12306
41593,1904
27728,16636
32545,35367
38602,17098
28896,56252
22118,26913
52718,24500
15461,12474
8381,62066
43006,58571
36252,34500
26089,64149
58788,50935
4000,10489
23835,27539
49650,33314
48248,54399
55945,64481
59784,32345
63920,250
6099,14142
4025,23085
59862,17739
9269,20501
316,12141
1431,26677
25383,888
14549,25225
55593,51562
57443,34608
31553,10872
4904,33118
35011,33244
7186,45867
11483,61420
43235,37221
61868,31614
34709,49
48675,13870
486,40181
18176,11913
31537,61086
38060,29630
44093,50858
21664,8297
25148,61237
49995,35148
57931,261
59227,34071
45749,4388
51715,5385
65442,35586
1751,33745
40883,16003
11793,11489
7897,51146
54792,39192
21439,4686
11060,63991
56676,61334
2476,29495
31062,26272
33007,62837
40927,49533
13518,6384
9000,6603
12403,44075
34629,27409
35741,41488
29623,27420
8773,8758
57543,9995
16191,56900
1703,33235
20599,48315
55357,20010
37622,17310
49259,463
40635,46344
8782,2996
61301,63746
12276,32506
42690,4385
29096,60014
49003,44494
35886,47120
61623,1059
62524,13177
45949,11768
9226,1624
21441,12303
62475,37830
58670,30097
32515,39906
63734,37590
41157,53601
18712,57158
6054,63355
1524,26614
64919,8416
60406,18126
51568,35322
45492,16054
52746,12113
29434,36675
8613,31243
55056,50581
31417,58185
13649,43028
21552,4968
54818,45208
64359,58215
41626,12120
48061,61298
22387,5943
63445,46009
4998,17327
19630,44685
37623,29327
30667,3619
17589,9602
17841,50307
43513,25586
55626,38881
31693,24120
40480,62867
42897,54754
60528,15411
6304,12776
11665,2215
15677,28099
46192,57655
28850,18117
29631,24075
21960,3310
26741,49456
41066,53380
34027,45424
16488,54645
1303,55463
39830,28655
